----------------- ----------------- Fz 1
, , Fc 1
ao_menos ao_menos RG 1
, , Fc 1
soltá soltar VMN0000 1
a o PP3FSA0 1
a a SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
noite noite NCFS000 1
... ... Fs 1
- - Fg 1
Achas achar VMIP2S0 1
me me PP1CS00 1
com com SP 1
cara cara NCFS000 0.97619
de de SP 1
idiota idiota NCCS000 0.632636
? ? Fit 1
- - Fg 1
perguntou perguntar VMIS3S0 1
rispidamente rispidamente RG 1
o o DA0MS0 0.950254
tio tio NCMS000 1
Vernon vernon NP00000 1
, , Fc 1
com com SP 1
um um DI0MS0 0.877848
fio fio NCMS000 0.908179
de de SP 1
ovo ovo NCMS000 0.914004
preso preso NCMS000 0.846154
em em SP 1
o o DA0MS0 1
bigode bigode NCMS000 1
farfalhudo farfalhudo AQ0MS00 1
. . Fp 1
- - Fg 1
Sei saber VMIP1S0 1
muito muito RG 0.811183
bem bem RG 0.953148
o o PD0MS00 0.0313531
que que PR0CN00 0.584265
aconteceria acontecer VMIC3S0 0.65
se se CS 0.138341
essa esse DD0FS0 0.887454
coruja coruja NCFS000 0.759325
fosse fossar VMSP1S0 0.166324
lá lá RG 0.994505
para para SP 0.999444
fora fora RG 0.488858
. . Fp 1

Trocou trocar VMIS3S0 1
um um DI0MS0 0.877848
olhar olhar NCMS000 0.246032
soturno soturno AQ0MS00 1
com com SP 1
a o DA0FS0 0.675415
mulher mulher NCFS000 1
, , Fc 1
a o DA0FS0 0.675415
tia tio NCFS000 1
Petúnia petúnia NP00000 1
. . Fp 1

Harry harry NP00000 1
tentou tentar VMIS3S0 1
contra-argumentar contra-argumentar VMN0000 1
, , Fc 1
mas mas CC 0.999313
as o DA0FP0 0.974798
suas seu DP3FSP 0.994048
palavras palavra NCFP000 1
foram ir VMIS3P0 0.325
abafadas abafar VMP00PF 0.988616
por por SP 1
um um DI0MS0 0.877848
enorme enorme AQ0CS00 1
arroto arroto NCMS000 0.914009
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
filho filho NCMS000 0.986928
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
Dursleys dursleys NP00000 1
, , Fc 1
Dudley dudley NP00000 1
. . Fp 1

- - Fg 1
Quero querer VMIP1S0 1
mais mais RG 0.999721
bacon bacon NCMS000 1
. . Fp 1

- - Fg 1
Há haver VMIP3S0 0.997878
mais mais RG 0.999721
em em SP 1
a o DA0FS0 1
frigideira frigideira NCFS000 1
, , Fc 1
fofinho fofinho NCMS000 0.632636
- - Fg 1
disse dizer VMIS3S0 0.638889
a o DA0FS0 0.675415
tia tio NCFS000 1
Petúnia petúnia NP00000 1
, , Fc 1
lançando lançar VMG0000 1
um um DI0MS0 0.877848
olhar olhar NCMS000 0.246032
vago vago AQ0MS00 0.960748
a a SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
seu seu DP3MSS 0.957305
filho filho NCMS000 0.986928
maciço maciço AQ0MS00 0.40068
. . Fp 1
- - Fg 1
Tens ter VMIP2S0 1
que que CS 0.398036
te te PP2CS00 1
alimentar alimentar VMSF1S0 0.021875
bem bem RG 0.953148
enquanto enquanto RG 0.97619
aqui aqui RG 1
estás estar VMIP2S0 1
, , Fc 1
aquela aquele DD0FS0 0.846535
comida comida NCFS000 0.556849
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
tua teu DP2FSS 0.939024
escola escola NCFS000 1
não não RN 0.99985
me me PP1CS00 1
cheira cheirar VMIP3S0 0.480183
. . Fp 1

- - Fg 1
Disparate disparate NCMS000 0.958493
, , Fc 1
Petúnia petúnia NP00000 1
, , Fc 1
eu eu PP1CSN0 0.997159
nunca nunca RG 1
passei passar VMIS1S0 1
fome fome NCFS000 1
enquanto enquanto RG 0.97619
andei andar VMIS1S0 1
em em SP 1
Smeltings smeltings NP00000 1
- - Fg 1
afirmou afirmar VMIS3S0 1
com com SP 1
sinceridade sinceridade NCFS000 1
o o DA0MS0 0.950254
tio tio NCMS000 1
Vernon vernon NP00000 1
. . Fp 1
- - Fg 1
O o DA0MS0 0.950254
Dudley dudley NP00000 1
tem ter VMIP3S0 0.999287
que que PR0CN00 0.584265
chegue chegar VMSP3S0 0.648523
. . Fp 1

Não não RN 0.9997
é ser VMIP3S0 1
verdade verdade NCFS000 1
, , Fc 1
filho filho NCMS000 0.986928
? ? Fit 1

Dudley dudley NP00000 1
, , Fc 1
que que PR0CN00 0.584265
era ser VMII1S0 0.331795
tão tão RG 1
gordo gordo AQ0MS00 0.367384
que que CS 0.398036
o o DA0MS0 0.950254
rabo rabo NCMS000 1
saía sair VMII3S0 0.65
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
dois 2 Z 1
lados lado NCMP000 1
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
cadeira cadeira NCFS000 1
de de SP 1
a o DA0FS0 0.675415 a SP 0.313151 o PP3FSA0 0.00613742 o PD0FS00 0.00514062 a NCMS000 0.000156639
cozinha cozinha NCFS000 0.819238
, , Fc 1
